Periodo,demanda,producción,ARIMA_Demanda,ARIMA_Demanda_Lower80,ARIMA_Demanda_Upper80,ARIMA_Produccion,ARIMA_Produccion_Lower80,ARIMA_Produccion_Upper80,RW_Demanda,RW_Demanda_Lower80,RW_Demanda_Upper80,RW_Produccion,RW_Produccion_Lower80,RW_Produccion_Upper80,VAR_Demanda,VAR_Demanda_Lower80,VAR_Demanda_Upper80,VAR_Produccion,VAR_Produccion_Lower80,VAR_Produccion_Upper80,Combined_Forecast_Demanda,Combined_Forecast_Oferta,Combined_Lower80_Demanda,Combined_Upper80_Demanda,Combined_Lower80_Produccion,Combined_Upper80_Produccion,Combined_Forecast_Produccion
1/1/2021,1776798.443,2165351.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2021,1738066.449,2030254.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2021,1811670.185,2434446.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2021,1828771.57,2385557.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/2021,1771274.122,2200060.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/2021,1741942.922,2113828.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2021,1735849.099,2130538.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/1/2021,1761837.048,2162109.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/2021,1666540.277,2135399.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/2021,1796763.985,2255390.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/1/2021,1801771.011,2157093.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/1/2021,1817117.899,2361010.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/1/2022,1848154.87,2268687.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2022,1784115.837,2086623.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2022,1853437.733,2435656.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2022,1934597.277,2371866.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/2022,1915375.406,2361046.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
